Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/06/02,00:39:50.696000,53.2597,-168.3476,5.55,0.96,VT,3,ok08_1
2008/06/02,00:47:33.767000,53.259,-168.3477,5.75,0.78,VT,3,ok08_2
2008/06/02,01:57:47.187000,53.2687,-168.3554,3.05,1.03,VT,3,ok08_3
2008/06/02,08:29:32.321000,53.265,-168.3564,3.35,0.76,VT,3,ok08_4
2008/06/02,19:13:22.916000,53.2646,-168.3558,3.55,0.66,VT,3,ok08_6
2008/06/02,19:17:44.330000,53.277,-168.353,2.25,0.76,VT,3,ok08_7
2008/06/02,19:19:01.776000,53.2693,-168.3427,4.55,0.88,VT,3,ok08_8
2008/06/02,22:04:32.110000,53.2808,-168.3358,3.15,1.02,VT,4,ok08_9
2008/06/19,04:43:32.438000,53.4076,-168.2018,1.05,0.47,VT,5,ok08_33
2008/06/20,02:56:13.172000,53.4108,-168.2103,0.65,0.66,VT,5,ok08_36
2008/06/23,03:41:57.604000,53.2838,-168.3373,0.35,0.67,VT,6,ok08_45
2008/06/23,04:09:11.686000,53.2683,-168.3466,3.65,0.6,VT,4,ok08_46
2008/06/23,08:11:59.898000,53.2833,-168.3016,2.55,0.79,VT,5,ok08_48
2008/06/24,15:47:15.923000,53.4126,-168.2009,2.55,0.39,VT,6,ok08_57
2008/06/26,10:51:32.110000,53.4079,-168.2012,1.35,0.85,VT,8,ok08_61
2008/07/06,18:28:57.114000,53.4436,-168.1139,3.85,0.83,VT,6,ok08_86
2008/07/10,21:50:30.881000,53.4014,-168.1111,3.95,0.58,VT,8,ok08_99
2008/07/11,09:49:52.045000,53.4501,-168.1093,5.85,0.14,VT,6,ok08_103
2008/07/11,15:47:35.983000,53.4441,-168.1021,5.35,0.7,VT,8,ok08_104
2008/07/12,11:23:19.770000,53.4414,-168.0937,4.35,0.5,VT,7,ok08_106
2008/07/12,14:47:00.618000,53.452,-168.1173,3.25,0.44,VT,4,ok08_108
2008/07/12,14:49:22.833000,53.4534,-168.1079,1.75,0.38,VT,4,ok08_109
2008/07/12,14:57:57.088000,53.442,-168.0929,3.95,0.75,VT,7,ok08_111
2008/07/12,15:07:51.681000,53.4537,-168.1232,2.55,1.19,VT,10,ok08_113
2008/07/12,15:09:29.674000,53.4421,-168.0967,3.95,0.37,VT,6,ok08_114
2008/07/12,15:21:32.359000,53.4549,-168.1181,1.95,0.47,VT,4,ok08_115
2008/07/12,15:23:32.333000,53.4423,-168.11,2.45,0.4,VT,6,ok08_116
2008/07/12,15:33:21.630000,53.4477,-168.1072,5.35,0.23,VT,6,ok08_117
2008/07/12,15:34:03.172000,53.4489,-168.0138,13.15,0.66,VT,6,ok08_118
2008/07/12,15:46:41.776000,53.4384,-168.0869,5.95,0.4,LP,4,ok08_121
2008/07/12,15:47:24.635000,53.4471,-168.0979,4.55,0.63,VT,7,ok08_122
2008/07/12,15:47:41.339000,53.4485,-168.105,6.25,0.56,VT,7,ok08_123
2008/07/12,15:48:40.561000,53.444,-168.093,4.65,0.3,VT,6,ok08_124
2008/07/12,15:54:00.371000,53.4427,-168.0955,3.15,0.52,VT,6,ok08_125
2008/07/12,15:54:45.855000,53.447,-168.1076,6.65,0.5,VT,6,ok08_126
2008/07/12,15:56:44.079000,53.4476,-168.1014,6.65,0.7,VT,7,ok08_127
2008/07/12,16:01:43.971000,53.4434,-168.0612,8.75,0.47,VT,5,ok08_128
2008/07/12,16:04:19.923000,53.4469,-168.1082,6.15,0.24,VT,5,ok08_129
2008/07/12,16:05:49.153000,53.4521,-168.1184,4.05,1.38,VT,10,ok08_130
2008/07/12,16:06:59.429000,53.4461,-168.0951,8.15,0.62,VT,7,ok08_131
2008/07/12,16:07:48.716000,53.4425,-168.095,4.05,0.48,VT,6,ok08_132
2008/07/12,16:13:21.415000,53.4513,-168.1178,5.15,0.72,VT,6,ok08_134
2008/07/12,16:16:20.513000,53.4426,-168.0955,3.15,0.46,VT,6,ok08_135
2008/07/12,16:22:06.538000,53.4464,-168.1092,5.35,0.22,VT,5,ok08_136
2008/07/12,16:25:11.244000,53.4335,-168.0573,9.35,0.74,VT,7,ok08_137
2008/07/12,16:26:24.549000,53.4495,-168.1148,3.15,0.52,VT,5,ok08_138
2008/07/12,16:27:40.403000,53.4462,-168.1062,7.25,0.7,VT,7,ok08_139
2008/07/12,16:28:42.685000,53.4467,-168.0991,1.95,0.31,VT,6,ok08_140
2008/07/12,16:32:45.500000,53.4409,-168.0975,2.45,0.32,VT,6,ok08_141
2008/07/12,16:36:25.558000,53.4405,-168.0937,4.55,0.41,LP,4,ok08_143
2008/07/12,16:40:39.294000,53.4432,-168.0985,2.95,0.19,VT,6,ok08_145
2008/07/12,16:44:52.568000,53.4409,-168.1219,3.75,0.73,VT,8,ok08_146
