Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/06/02,00:39:50.599423,53.2441,-168.3614,5.91,0.96,VT,3,ok08_1
2008/06/02,00:47:33.679423,53.2441,-168.3614,5.91,0.78,VT,3,ok08_2
2008/06/02,01:57:47.094763,53.2515,-168.3638,4.15,1.03,VT,3,ok08_3
2008/06/02,08:29:32.311178,53.255,-168.3623,3.77,0.76,VT,3,ok08_4
2008/06/02,19:13:01.565662,53.3327,-168.3046,0.75,1.12,VT,3,ok08_5
2008/06/02,19:13:22.865118,53.2522,-168.3638,4.15,0.66,VT,3,ok08_6
2008/06/02,19:17:44.424830,53.2747,-168.3458,2.14,0.76,VT,3,ok08_7
2008/06/02,19:19:01.500490,53.2447,-168.3615,5.91,0.88,VT,3,ok08_8
2008/06/02,22:04:31.935401,53.264,-168.3652,2.89,1.02,VT,4,ok08_9
2008/06/03,09:59:51.100775,53.2901,-168.2774,0.5,0.78,VT,3,ok08_10
2008/06/03,23:56:16.585921,53.2865,-168.1088,1.13,0.76,VT,4,ok08_11
2008/06/07,13:09:42.880059,53.2744,-168.3241,3.65,1.24,VT,3,ok08_12
2008/06/09,22:17:58.226396,53.4237,-167.8519,3.77,1.49,VT,3,ok08_13
2008/06/12,09:57:32.038435,53.2722,-168.2919,2.89,0.62,VT,4,ok08_14
2008/06/13,01:52:10.407159,53.3116,-168.1774,10.82,1.45,VT,4,ok08_15
2008/06/15,01:36:55.336991,53.3021,-168.2907,6.41,0.73,VT,4,ok08_16
2008/06/15,04:14:41.538234,53.2986,-168.0075,0.88,1.2,VT,5,ok08_17
2008/06/15,04:26:47.371290,53.1995,-167.9669,0.88,1.18,VT,5,ok08_18
2008/06/15,09:31:23.784497,53.429,-167.9726,14.34,0.7,VT,3,ok08_19
2008/06/15,23:14:38.874583,53.4008,-168.1086,1.89,0.74,VT,5,ok08_20
2008/06/15,23:21:46.024497,53.429,-167.9726,14.34,0.04,VT,3,ok08_21
