Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/06/02,00:39:50.610000,53.2452,-168.3745,4.23,0.96,VT,3,ok08_1
2008/06/02,00:47:33.690000,53.2451,-168.3697,4.83,0.78,VT,3,ok08_2
2008/06/02,01:57:47.040000,53.2565,-168.375,2.83,1.03,VT,3,ok08_3
2008/06/02,08:29:32.240000,53.2597,-168.3739,2.43,0.76,VT,3,ok08_4
2008/06/02,19:13:22.880000,53.2554,-168.3666,3.53,0.66,VT,3,ok08_6
2008/06/02,19:17:44.460000,53.278,-168.3456,1.53,0.76,VT,3,ok08_7
2008/06/02,19:19:01.520000,53.2459,-168.375,4.33,0.88,VT,3,ok08_8
2008/06/02,22:04:31.960000,53.2681,-168.363,2.63,1.02,VT,4,ok08_9
2008/06/03,09:59:51.110000,53.2942,-168.2721,0.13,0.78,VT,3,ok08_10
2008/06/03,23:56:16.400000,53.2912,-168.099,1.83,0.76,VT,4,ok08_11
2008/06/12,09:57:31.990000,53.2753,-168.279,2.53,0.62,VT,4,ok08_14
2008/06/15,04:14:41.700000,53.3053,-168.0277,2.73,1.2,VT,5,ok08_17
2008/06/15,09:31:23.910000,53.4881,-168.0073,17.03,0.7,VT,3,ok08_19
2008/06/15,23:14:38.220000,53.3818,-168.0694,4.83,0.74,VT,5,ok08_20
2008/06/15,23:21:46.120000,53.4537,-168.0167,17.83,0.04,VT,3,ok08_21
2008/06/16,19:14:13.440000,53.3036,-167.9856,1.53,1.1,VT,6,ok08_23
2008/06/17,09:15:25.780000,53.489,-168.067,10.59,1.12,VT,6,ok08_26
2008/06/18,04:52:02.340000,53.435,-168.1125,3.23,0.33,VT,6,ok08_29
2008/06/18,22:48:59.440000,53.3573,-168.3409,1.63,0.71,VT,5,ok08_32
2008/06/21,13:26:15.660000,53.2624,-168.3319,2.03,0.84,VT,6,ok08_40
2008/06/23,03:41:57.700000,53.2789,-168.342,0.53,0.67,VT,6,ok08_45
2008/06/23,04:09:11.780000,53.2716,-168.3385,2.83,0.6,VT,4,ok08_46
2008/06/23,08:11:59.930000,53.2908,-168.2761,0.53,0.79,VT,5,ok08_48
2008/06/23,12:24:27.770000,53.2914,-168.311,0.73,0.71,VT,7,ok08_49
2008/06/23,23:36:31.460000,53.3202,-168.2948,7.33,1.3,VT,10,ok08_50
2008/06/26,10:51:32.090000,53.4057,-168.1889,3.9,0.85,VT,8,ok08_61
2008/06/26,19:07:14.240000,53.4394,-168.0183,17.63,0.73,VT,3,ok08_63
2008/06/26,22:02:29.760000,53.277,-168.2974,0.93,0.77,VT,6,ok08_64
2008/06/27,19:58:08.600000,53.3759,-168.0315,3.73,0.41,VT,6,ok08_68
2008/06/30,07:17:43.210000,53.2203,-168.2919,1.03,1.18,VT,8,ok08_69
2008/06/30,16:38:29.330000,53.2541,-168.3315,2.43,0.51,VT,7,ok08_73
2008/06/30,19:32:57.200000,53.2614,-168.3663,1.53,1.29,VT,8,ok08_74
2008/07/01,12:00:50.840000,53.2387,-168.4006,0.73,2.25,LP,7,ok08_75
2008/07/01,16:08:32.720000,53.2548,-168.2669,3.23,1.32,VT,7,ok08_77
2008/07/01,16:36:36.700000,53.2745,-168.3027,2.63,1.17,VT,7,ok08_78
2008/07/01,17:54:01.680000,53.2398,-168.2678,3.23,1.37,VT,6,ok08_80
2008/07/02,14:15:13.730000,53.2833,-168.3223,1.23,1.23,VT,9,ok08_81
2008/07/06,00:02:34.510000,53.3088,-168.0119,2.13,0.89,VT,5,ok08_83
2008/07/06,17:16:19.960000,53.415,-168.0067,15.63,1.13,VT,3,ok08_85
2008/07/06,18:28:57.120000,53.4433,-168.1114,2.99,0.83,VT,6,ok08_86
2008/07/08,18:07:26.920000,53.3812,-168.1359,3.1,0.47,VT,7,ok08_89
2008/07/08,23:13:13.760000,53.4061,-168.0864,4.63,0.84,VT,8,ok08_90
2008/07/10,11:49:28.910000,53.4329,-168.0335,8.59,0.54,VT,6,ok08_97
2008/07/10,11:50:25.400000,53.4343,-168.1242,12.03,0.43,VT,6,ok08_98
2008/07/10,21:50:30.500000,53.399,-168.1233,8.43,0.58,VT,8,ok08_99
2008/07/11,06:25:18.100000,53.3268,-168.2057,20.23,1.43,VT,9,ok08_101
2008/07/11,09:49:52.140000,53.4487,-168.1189,5.09,0.14,VT,6,ok08_103
2008/07/11,15:47:35.880000,53.4488,-168.1175,6.19,0.7,VT,8,ok08_104
2008/07/12,11:23:19.890000,53.4415,-168.1117,2.99,0.5,VT,7,ok08_106
2008/07/12,14:36:35.230000,53.4098,-168.1285,15.93,0.96,VT,7,ok08_107
2008/07/12,14:47:00.720000,53.4499,-168.1032,4.09,0.44,VT,4,ok08_108
2008/07/12,14:49:23.050000,53.4462,-168.1139,1.09,0.38,VT,4,ok08_109
2008/07/12,14:55:15.850000,53.4325,-168.0939,7.69,0.52,VT,5,ok08_110
2008/07/12,14:57:57.180000,53.4391,-168.1095,2.99,0.75,VT,7,ok08_111
2008/07/12,15:01:30.540000,53.3517,-168.133,6.33,0.45,VT,5,ok08_112
